"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","beepvar3","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp","SID2"
10439,22,1,1,1,1.44444444444444,3,2,4,1,3,3.66666666666667,3,1,1,1.44444444444444,2.90909090909091,2.27272727272727,3.63636363636364,1.09090909090909,3.45454545454545,3.66666666666667,3.45454545454545,1.45454545454545,10439
10329,8,1,1,1,2,5,2,3,2,2,2,4,2,1,1.66666666666667,3.75,3,3.75,1.75,2.375,2.83333333333333,3.75,2.25,10329
10320,40,1,1,1,2,2,1,4,2,2,3,4,2,1,1.66666666666667,3.25,2.6,2.625,2.525,2.4,2.8,3.275,2.95,10320
10280,40,1,1,1,1,3,2,4,2,2,3,5,2,1,1.09677419354839,3.475,2.025,3.075,2.05,2.35,4,3.975,2.7,10280
10240,26,1,1,1,1,3,3,3,3,3,3,5,2,1,1.17391304347826,2.8,2.92,2.12,3.56,2.08,3.56521739130435,3.92,4.28,10240
10210,30,1,1,1,1,3,1,4,1,5,4,3,1,1,1.45454545454545,4.1,2.1,4.06666666666667,1.43333333333333,2.03333333333333,3.5,4.03333333333333,1.66666666666667,10210
10203,3,1,1,1,1.5,5,1,2,2,3,3.5,2,3,1,1.5,4,2.33333333333333,3.33333333333333,2,3,3.5,3,2.33333333333333,10203
10180,7,1,1,5,2.2,5,5,4,3,1,1.2,3,2,1,2.2,4.14285714285714,4.28571428571429,2.85714285714286,3.14285714285714,1.28571428571429,1.2,2.42857142857143,3.28571428571429,10180
10132,16,1,1,1,1,5,2,5,1,1,3.2,3,1,1,1,3,1.875,3.75,1.375,2.375,3.2,3.375,2.375,10132
10550,16,1,1,1,1,5,3,4,1,1,1,3,1,1,1.42857142857143,2.625,2.5625,3.5,1,2.6875,2.5,2.8125,1.5,10550
10549,17,1,1,1,1,3,4,4,2,3,3,4,1,1,1.6875,2.94117647058824,2.58823529411765,3.76470588235294,1.58823529411765,3.29411764705882,2.8125,3.64705882352941,1.64705882352941,10549
10545,7,1,1,1,1,3,2,3,2,3,3,4,4,1,1.2,2.57142857142857,2,3,1.42857142857143,3.28571428571429,3.2,3.28571428571429,2,10545
10526,36,1,1,1,1,3,3,4,2,3,3,3,2,1,1.66666666666667,3.44444444444444,2.86111111111111,3.52777777777778,1.77777777777778,2.88888888888889,3.2,3.38888888888889,2.19444444444444,10526
10515,46,1,1,1,1,3,1,4,1,4,4,5,1,1,1.45161290322581,3.8695652173913,3.10869565217391,3.47826086956522,1.06521739130435,2.30434782608696,2.93548387096774,3.82608695652174,1.8695652173913,10515
10529,6,1,1,1,1,5,2,4,1,2,1,4,1,1,1.5,4.25,2.25,2.5,2,1.75,1.25,2.75,2.75,10529
10535,41,1,1,1,1,5,2,4,2,2,3,4,2,1,1.36666666666667,3.46341463414634,2.70731707317073,3.63414634146341,1.82926829268293,2.4390243902439,2.83333333333333,3.21951219512195,2.09756097560976,10535
10518,13,1,1,1,1,5,4,4,3,1,5,5,3,1,1.5,3.53846153846154,3,3.84615384615385,1.69230769230769,2.84615384615385,4.6,4.30769230769231,2.15384615384615,10518
10530,55,1,1,1,1,4,1,4,1,3,1,5,1,1,1.72916666666667,3.47272727272727,2.41818181818182,3.65454545454545,1.52727272727273,2.81818181818182,2.91489361702128,4.07272727272727,1.89090909090909,10530
10528,44,1,1,1,2,5,2,4,1,2,3,4,1,1,1.2,3.06818181818182,2.25,3.25,1.36363636363636,2.84090909090909,3.325,3.5,1.63636363636364,10528
10398,12,1,1,1,1,2,1,4,1,4,4,4,1,1,1.28571428571429,3.5,2.5,3.41666666666667,1.58333333333333,2.5,3.85714285714286,3.5,2.33333333333333,10398
10513,41,1,1,1,1,5,5,3,2,3,3,4,1,1,1.65853658536585,3.21951219512195,2.82926829268293,3.80487804878049,2.31707317073171,3.78048780487805,3.95121951219512,4.17073170731707,2,10513
10516,31,1,1,1,1,4,4,5,1,2,2,3,2,1,1.96296296296296,3.35483870967742,2.16129032258065,3.58064516129032,1.09677419354839,2.7741935483871,2.92592592592593,3.67741935483871,2,10516
10503,27,1,1,1,1,4,3,4,2,1,2,4,1,1,1.15789473684211,3.81481481481481,3.33333333333333,3.92592592592593,1.07407407407407,2.25925925925926,2.73684210526316,2.74074074074074,1.37037037037037,10503
10461,8,1,1,1,1,4,1,4,1,3,4,5,1,1,1.375,3.375,2.875,4.25,1.375,2.75,3.625,3.5,1.5,10461
10477,33,1,1,1,1,3,2,4,2,2,2,3,2,1,1.73684210526316,3.21875,2.59375,3.4375,1.90625,2.71875,3,2.9375,2.4375,10477
10460,23,1,1,1,1,3,3,5,3,4,3,4,2,1,1.04545454545455,3,2.52173913043478,4,1.60869565217391,3.1304347826087,3.63636363636364,3.82608695652174,2.1304347826087,10460
10481,17,1,1,1,1,4,3,3,1,2,2,4,2,1,1.92307692307692,3.23529411764706,2.94117647058824,3.05882352941176,1.05882352941176,2.41176470588235,2.46153846153846,2.76470588235294,2.47058823529412,10481
10506,20,1,1,1,1,5,2,5,1,2,3,4,1,1,1.57894736842105,3,3.1,3.5,1.15,3.25,3.57894736842105,4.1,2.1,10506
